part,grid_x,grid_y,grid_z,size_x_mm,size_y_mm,size_z_mm,faces,file
x3_y2_z10,3,2,10,66.43,29.05,161.98,1464,image-to-stl-1787233955901_part_x3_y2_z10.stl
x3_y3_z1,3,3,1,165.67,126.83,118.13,4432,image-to-stl-1787233955901_part_x3_y3_z1.stl
x3_y3_z2,3,3,2,165.67,138.94,174.00,4312,image-to-stl-1787233955901_part_x3_y3_z2.stl
x3_y3_z3,3,3,3,165.67,142.47,174.00,3218,image-to-stl-1787233955901_part_x3_y3_z3.stl
x3_y3_z4,3,3,4,165.67,142.63,174.00,3540,image-to-stl-1787233955901_part_x3_y3_z4.stl
x3_y3_z5,3,3,5,165.67,141.68,174.00,4274,image-to-stl-1787233955901_part_x3_y3_z5.stl
x3_y3_z6,3,3,6,165.67,137.64,174.00,4786,image-to-stl-1787233955901_part_x3_y3_z6.stl
x3_y3_z7,3,3,7,150.66,110.59,87.61,2224,image-to-stl-1787233955901_part_x3_y3_z7.stl
x4_y1_z2,4,1,2,4.91,7.53,19.84,92,image-to-stl-1787233955901_part_x4_y1_z2.stl
x4_y1_z3,4,1,3,27.44,149.00,174.00,2400,image-to-stl-1787233955901_part_x4_y1_z3.stl
x4_y1_z4,4,1,4,29.56,150.84,174.00,3088,image-to-stl-1787233955901_part_x4_y1_z4.stl
x4_y1_z5,4,1,5,26.93,88.61,170.00,2158,image-to-stl-1787233955901_part_x4_y1_z5.stl
x4_y1_z6,4,1,6,7.45,37.89,32.82,634,image-to-stl-1787233955901_part_x4_y1_z6.stl
x4_y2_z1,4,2,1,5.09,8.76,15.99,88,image-to-stl-1787233955901_part_x4_y2_z1.stl
x4_y2_z2,4,2,2,156.99,151.42,174.00,3926,image-to-stl-1787233955901_part_x4_y2_z2.stl
x4_y2_z3,4,2,3,161.67,151.42,174.00,5090,image-to-stl-1787233955901_part_x4_y2_z3.stl
x4_y2_z4,4,2,4,157.34,151.42,174.00,5824,image-to-stl-1787233955901_part_x4_y2_z4.stl
x4_y2_z5,4,2,5,129.45,147.42,174.00,4566,image-to-stl-1787233955901_part_x4_y2_z5.stl
x4_y2_z6,4,2,6,83.86,129.34,174.00,2880,image-to-stl-1787233955901_part_x4_y2_z6.stl
x4_y2_z7,4,2,7,32.69,22.37,120.91,724,image-to-stl-1787233955901_part_x4_y2_z7.stl
x4_y3_z1,4,3,1,41.29,32.85,59.12,786,image-to-stl-1787233955901_part_x4_y3_z1.stl
x4_y3_z2,4,3,2,138.31,69.58,174.00,3454,image-to-stl-1787233955901_part_x4_y3_z2.stl
x4_y3_z3,4,3,3,139.09,70.79,174.00,2844,image-to-stl-1787233955901_part_x4_y3_z3.stl
x4_y3_z4,4,3,4,132.16,69.78,174.00,3404,image-to-stl-1787233955901_part_x4_y3_z4.stl
x4_y3_z5,4,3,5,76.01,60.21,170.00,2030,image-to-stl-1787233955901_part_x4_y3_z5.stl
x4_y3_z6,4,3,6,10.24,25.20,115.24,558,image-to-stl-1787233955901_part_x4_y3_z6.stl
